"","name","decimalLongitude","decimalLatitude"
"1960","Sigmodon hispidus",-99.353912,28.341881
"1967","Sigmodon hispidus",-99.410316,28.343971
"1968","Sigmodon hispidus",-99.410316,28.343971
"1973","Sigmodon hispidus",-99.353912,28.341881
"1974","Neotoma micropus",-99.410316,28.343971
"1975","Sigmodon hispidus",-99.410316,28.343971
"1980","Neotoma micropus",-99.410316,28.343971
"1981","Neotoma micropus",-99.410316,28.343971
"1991","Sigmodon hispidus",-99.410316,28.343971
"1992","Sigmodon hispidus",-99.410316,28.343971
"2001","Neotoma micropus",-99.410316,28.343971
"2009","Peromyscus leucopus",-99.410316,28.343971
"2018","Neotoma micropus",-99.410316,28.343971
"2019","Peromyscus leucopus",-99.410316,28.343971
"2020","Sigmodon hispidus",-99.410316,28.343971
"2021","Sigmodon hispidus",-99.353912,28.341881
"2022","Sigmodon hispidus",-99.353912,28.341881
"2030","Sigmodon hispidus",-99.410316,28.343971
"2031","Sigmodon hispidus",-99.410316,28.343971
"2034","Onychomys leucogaster",-99.353912,28.341881
"2037","Neotoma micropus",-99.410316,28.343971
"2038","Neotoma micropus",-99.410316,28.343971
"2039","Sigmodon hispidus",-99.353912,28.341881
"2040","Sigmodon hispidus",-99.353912,28.341881
"2041","Sigmodon hispidus",-99.353912,28.341881
"2049","Neotoma micropus",-99.410316,28.343971
"2050","Sigmodon hispidus",-99.410316,28.343971
"2051","Peromyscus leucopus",-99.410316,28.343971
"2053","Neotoma micropus",-99.410316,28.343971
"2057","Sigmodon hispidus",-99.353912,28.341881
"2058","Sigmodon hispidus",-99.353912,28.341881
"2066","Sigmodon hispidus",-99.353912,28.341881
"2071","Neotoma micropus",-99.353912,28.341881
"2074","Sigmodon hispidus",-99.410316,28.343971
"2075","Sigmodon hispidus",-99.410316,28.343971
"2076","Neotoma micropus",-99.410316,28.343971
"2077","Sigmodon hispidus",-99.353912,28.341881
"2081","Neotoma micropus",-99.410316,28.343971
"2084","Neotoma micropus",-99.410316,28.343971
"2085","Sigmodon hispidus",-99.410316,28.343971
"2086","Sigmodon hispidus",-99.353912,28.341881
"2088","Reithrodontomys fulvescens",-99.410316,28.343971
"2094","Sigmodon hispidus",-99.410316,28.343971
"2095","Neotoma micropus",-99.410316,28.343971
"2096","Sigmodon hispidus",-99.353912,28.341881
"2103","Neotoma micropus",-99.353912,28.341881
"2104","Sigmodon hispidus",-99.410316,28.343971
"2105","Peromyscus leucopus",-99.410316,28.343971
"2107","Peromyscus leucopus",-99.410316,28.343971
"2108","Sigmodon hispidus",-99.410316,28.343971
"2109","Peromyscus leucopus",-99.410316,28.343971
"2115","Sigmodon hispidus",-99.410316,28.343971
"2129","Neotoma micropus",-99.353912,28.341881
"2130","Sigmodon hispidus",-99.353912,28.341881
"2131","Sigmodon hispidus",-99.353912,28.341881
"2140","Peromyscus pectoralis",-99.555,29.80308
"2141","Peromyscus pectoralis",-99.555,29.80308
"2151","Peromyscus pectoralis",-99.555,29.80308
"2493","Peromyscus attwateri",-99.479958,30.194389
"2494","Peromyscus attwateri",-99.479958,30.194389
"2495","Peromyscus attwateri",-99.479958,30.194389
"2496","Peromyscus attwateri",-99.479958,30.194389
"2497","Peromyscus attwateri",-99.479958,30.194389
"2498","Peromyscus attwateri",-99.479958,30.194389
"2503","Peromyscus attwateri",-99.479958,30.194389
"2504","Peromyscus attwateri",-99.479958,30.194389
"2506","Peromyscus attwateri",-99.479958,30.194389
"2507","Peromyscus attwateri",-99.479958,30.194389
"2508","Peromyscus attwateri",-99.479958,30.194389
"2510","Peromyscus attwateri",-99.479958,30.194389
"2511","Peromyscus attwateri",-99.479958,30.194389
"2512","Sigmodon hispidus",-99.479958,30.194389
"2513","Peromyscus attwateri",-99.479958,30.194389
"2514","Peromyscus attwateri",-99.479958,30.194389
"2515","Peromyscus attwateri",-99.479958,30.194389
"2516","Peromyscus attwateri",-99.479958,30.194389
"2517","Peromyscus attwateri",-99.479958,30.194389
"2518","Peromyscus attwateri",-99.479958,30.194389
"2523","Peromyscus attwateri",-99.479958,30.194389
"2524","Peromyscus attwateri",-99.479958,30.194389
"2525","Peromyscus attwateri",-99.479958,30.194389
"2526","Sigmodon hispidus",-99.479958,30.194389
"2527","Peromyscus attwateri",-99.479958,30.194389
"2528","Peromyscus attwateri",-99.479958,30.194389
"2530","Peromyscus attwateri",-99.479958,30.194389
"2533","Peromyscus attwateri",-99.479958,30.194389
"2534","Peromyscus attwateri",-99.479958,30.194389
"2535","Peromyscus attwateri",-99.479958,30.194389
"2538","Peromyscus attwateri",-99.479958,30.194389
"2539","Peromyscus attwateri",-99.479958,30.194389
"2540","Sigmodon hispidus",-99.479958,30.194389
"2542","Peromyscus attwateri",-99.479958,30.194389
"2544","Peromyscus attwateri",-99.479958,30.194389
"2545","Peromyscus attwateri",-99.479958,30.194389
"2547","Peromyscus attwateri",-99.479958,30.194389
"2548","Peromyscus attwateri",-99.479958,30.194389
"2549","Peromyscus attwateri",-99.479958,30.194389
"2552","Peromyscus attwateri",-99.479958,30.194389
"2553","Peromyscus attwateri",-99.479958,30.194389
"2554","Peromyscus attwateri",-99.479958,30.194389
"2555","Peromyscus attwateri",-99.479958,30.194389
"2557","Peromyscus attwateri",-99.479958,30.194389
"2558","Peromyscus attwateri",-99.479958,30.194389
"2561","Peromyscus attwateri",-99.479958,30.194389
"2562","Peromyscus attwateri",-99.479958,30.194389
"2565","Peromyscus attwateri",-99.479958,30.194389
"2569","Peromyscus attwateri",-99.479958,30.194389
"2570","Peromyscus attwateri",-99.479958,30.194389
"2571","Peromyscus attwateri",-99.479958,30.194389
"2573","Peromyscus attwateri",-99.479958,30.194389
"2574","Peromyscus attwateri",-99.479958,30.194389
"2575","Peromyscus attwateri",-99.479958,30.194389
"2577","Peromyscus attwateri",-99.479958,30.194389
"2578","Peromyscus attwateri",-99.479958,30.194389
"2579","Neotoma albigula",-99.479958,30.194389
"2580","Peromyscus attwateri",-99.479958,30.194389
"2581","Peromyscus attwateri",-99.479958,30.194389
"2583","Peromyscus attwateri",-99.479958,30.194389
"2584","Peromyscus attwateri",-99.479958,30.194389
"2585","Peromyscus attwateri",-99.479958,30.194389
"2586","Peromyscus attwateri",-99.479958,30.194389
"2587","Peromyscus attwateri",-99.479958,30.194389
"2590","Peromyscus attwateri",-99.479958,30.194389
"2591","Peromyscus attwateri",-99.479958,30.194389
"2592","Peromyscus pectoralis",-99.479958,30.194389
"2597","Sigmodon hispidus",-99.479958,30.194389
"2598","Peromyscus attwateri",-99.479958,30.194389
"2599","Peromyscus attwateri",-99.479958,30.194389
"2600","Peromyscus attwateri",-99.479958,30.194389
"2601","Peromyscus attwateri",-99.479958,30.194389
"2602","Peromyscus pectoralis",-99.479958,30.194389
"2603","Peromyscus attwateri",-99.479958,30.194389
"2606","Peromyscus attwateri",-99.479958,30.194389
"2608","Peromyscus attwateri",-99.479958,30.194389
"2609","Peromyscus attwateri",-99.479958,30.194389
"2610","Peromyscus attwateri",-99.479958,30.194389
"2612","Peromyscus attwateri",-99.479958,30.194389
"2613","Peromyscus pectoralis",-99.479958,30.194389
"2614","Peromyscus attwateri",-99.479958,30.194389
"2615","Sigmodon hispidus",-99.479958,30.194389
"2616","Peromyscus attwateri",-99.479958,30.194389
"2617","Peromyscus attwateri",-99.479958,30.194389
"2620","Peromyscus attwateri",-99.479958,30.194389
"2621","Peromyscus attwateri",-99.479958,30.194389
"2623","Peromyscus attwateri",-99.479958,30.194389
"2625","Peromyscus attwateri",-99.479958,30.194389
"2628","Peromyscus pectoralis",-99.479958,30.194389
"2629","Peromyscus attwateri",-99.479958,30.194389
"2630","Peromyscus attwateri",-99.479958,30.194389
"2631","Peromyscus attwateri",-99.479958,30.194389
"2633","Peromyscus attwateri",-99.479958,30.194389
"2635","Peromyscus attwateri",-99.479958,30.194389
"2636","Peromyscus attwateri",-99.479958,30.194389
"2637","Peromyscus attwateri",-99.479958,30.194389
"2638","Peromyscus attwateri",-99.479958,30.194389
"2639","Peromyscus attwateri",-99.479958,30.194389
"2640","Peromyscus attwateri",-99.479958,30.194389
"2641","Peromyscus pectoralis",-99.479958,30.194389
"2643","Peromyscus attwateri",-99.479958,30.194389
"2644","Peromyscus attwateri",-99.479958,30.194389
"2647","Peromyscus attwateri",-99.479958,30.194389
"2648","Peromyscus attwateri",-99.479958,30.194389
"2649","Peromyscus attwateri",-99.479958,30.194389
"2650","Peromyscus attwateri",-99.479958,30.194389
"2654","Peromyscus attwateri",-99.479958,30.194389
"2658","Peromyscus attwateri",-99.479958,30.194389
"2660","Peromyscus attwateri",-99.479958,30.194389
"2661","Peromyscus attwateri",-99.479958,30.194389
"2662","Peromyscus attwateri",-99.479958,30.194389
"2663","Peromyscus attwateri",-99.479958,30.194389
"2664","Peromyscus attwateri",-99.479958,30.194389
"2665","Peromyscus attwateri",-99.479958,30.194389
"2666","Peromyscus attwateri",-99.479958,30.194389
"2670","Peromyscus attwateri",-99.479958,30.194389
"2671","Sigmodon hispidus",-99.479958,30.194389
"2672","Peromyscus attwateri",-99.479958,30.194389
"2673","Peromyscus attwateri",-99.479958,30.194389
"2678","Sigmodon hispidus",-96.979641,28.824252
"2680","Sigmodon hispidus",-96.979641,28.824252
"2681","Sigmodon hispidus",-96.979641,28.824252
"2683","Sigmodon hispidus",-96.979641,28.824252
"2685","Sigmodon hispidus",-96.979641,28.824252
"2694","Sigmodon hispidus",-96.979641,28.824252
"2799","Peromyscus pectoralis",-99.555,29.80308
"2800","Peromyscus pectoralis",-99.555,29.80308
"2804","Peromyscus pectoralis",-99.555,29.80308
"2806","Peromyscus pectoralis",-99.555,29.80308
"2807","Peromyscus pectoralis",-99.555,29.80308
"2809","Peromyscus pectoralis",-99.555,29.80308
"2811","Sigmodon hispidus",-99.555,29.80308
"2813","Sigmodon hispidus",-99.555,29.80308
"2902","Neotoma micropus",-99.2791472977666,29.330212880132
"2905","Peromyscus attwateri",-99.479958,30.194389
"2907","Peromyscus attwateri",-99.479958,30.194389
"2914","Neotoma albigula",-99.479958,30.194389
"2916","Peromyscus attwateri",-99.479958,30.194389
"2918","Peromyscus attwateri",-99.479958,30.194389
"2919","Peromyscus attwateri",-99.479958,30.194389
"2920","Peromyscus attwateri",-99.479958,30.194389
"2922","Peromyscus attwateri",-99.479958,30.194389
"2924","Peromyscus attwateri",-99.479958,30.194389
"2927","Peromyscus attwateri",-99.479958,30.194389
"2931","Peromyscus pectoralis",-99.479958,30.194389
"2933","Peromyscus attwateri",-99.479958,30.194389
"2936","Peromyscus attwateri",-99.479958,30.194389
"2937","Peromyscus attwateri",-99.479958,30.194389
"2941","Peromyscus attwateri",-99.479958,30.194389
"2943","Peromyscus attwateri",-99.479958,30.194389
"2946","Peromyscus attwateri",-99.479958,30.194389
"2950","Peromyscus attwateri",-99.479958,30.194389
"2952","Peromyscus attwateri",-99.479958,30.194389
"2956","Peromyscus attwateri",-99.479958,30.194389
"2957","Peromyscus attwateri",-99.479958,30.194389
"2958","Peromyscus pectoralis",-99.479958,30.194389
"2963","Peromyscus attwateri",-99.479958,30.194389
"2970","Peromyscus attwateri",-99.479958,30.194389
"2973","Peromyscus attwateri",-99.479958,30.194389
"2975","Peromyscus attwateri",-99.479958,30.194389
"2978","Peromyscus attwateri",-99.479958,30.194389
"2982","Neotoma albigula",-99.479958,30.194389
"2983","Peromyscus attwateri",-99.479958,30.194389
"2984","Peromyscus attwateri",-99.479958,30.194389
"2986","Peromyscus attwateri",-99.479958,30.194389
"2987","Peromyscus attwateri",-99.479958,30.194389
"2989","Peromyscus attwateri",-99.479958,30.194389
"2995","Peromyscus attwateri",-99.479958,30.194389
"3000","Peromyscus attwateri",-99.479958,30.194389
"3001","Peromyscus attwateri",-99.479958,30.194389
"3004","Peromyscus attwateri",-99.479958,30.194389
"3005","Peromyscus attwateri",-99.479958,30.194389
"3008","Peromyscus attwateri",-99.479958,30.194389
"3011","Peromyscus attwateri",-99.479958,30.194389
"3012","Peromyscus pectoralis",-99.479958,30.194389
"3013","Peromyscus attwateri",-99.479958,30.194389
"3014","Peromyscus attwateri",-99.479958,30.194389
"3017","Peromyscus attwateri",-99.479958,30.194389
"3018","Peromyscus attwateri",-99.479958,30.194389
"3019","Peromyscus pectoralis",-99.479958,30.194389
"3021","Peromyscus attwateri",-99.479958,30.194389
"3022","Peromyscus attwateri",-99.479958,30.194389
"3025","Peromyscus pectoralis",-99.479958,30.194389
"3027","Peromyscus attwateri",-99.479958,30.194389
"3032","Neotoma",-99.479958,30.194389
"3033","Peromyscus attwateri",-99.479958,30.194389
"3036","Peromyscus pectoralis",-99.479958,30.194389
"3037","Peromyscus attwateri",-99.479958,30.194389
"3039","Neotoma albigula",-99.479958,30.194389
"3042","Peromyscus attwateri",-99.479958,30.194389
"3043","Peromyscus attwateri",-99.479958,30.194389
"3044","Peromyscus attwateri",-99.479958,30.194389
"3046","Peromyscus pectoralis",-99.479958,30.194389
"3049","Peromyscus attwateri",-99.479958,30.194389
"3051","Peromyscus attwateri",-99.479958,30.194389
"3055","Peromyscus attwateri",-99.479958,30.194389
"3061","Peromyscus attwateri",-99.479958,30.194389
"3098","Baiomys taylori",-99.410316,28.343971
"3264","Sigmodon hispidus",-97.824974,26.329378
"3265","Peromyscus leucopus",-97.824974,26.329378
"3266","Peromyscus leucopus",-97.582001,26.235001
"3267","Neotoma micropus",-97.582001,26.235001
"3268","Peromyscus leucopus",-97.582001,26.235001
"3269","Peromyscus leucopus",-97.582001,26.235001
"3270","Sigmodon hispidus",-97.582001,26.235001
"3271","Sigmodon hispidus",-97.582001,26.235001
"3273","Peromyscus leucopus",-97.824974,26.329378
"3274","Baiomys taylori",-97.824974,26.329378
"3276","Sigmodon hispidus",-98.183289,26.194351
"3277","Sigmodon hispidus",-97.582001,26.235001
"3278","Sigmodon hispidus",-97.582001,26.235001
"3279","Baiomys taylori",-97.582001,26.235001
"3280","Sigmodon hispidus",-97.582001,26.235001
"3281","Baiomys taylori",-97.824974,26.329378
"3283","Sigmodon hispidus",-97.824974,26.329378
"3284","Baiomys taylori",-97.824974,26.329378
"3285","Peromyscus leucopus",-97.824974,26.329378
"3286","Neotoma micropus",-98.183289,26.194351
"3287","Peromyscus leucopus",-98.183289,26.194351
"3292","Peromyscus leucopus",-97.824974,26.329378
"3294","Peromyscus leucopus",-98.183289,26.194351
"3296","Reithrodontomys fulvescens",-97.824974,26.329378
"3297","Peromyscus leucopus",-97.824974,26.329378
"3298","Peromyscus leucopus",-97.582001,26.235001
"3299","Sigmodon hispidus",-97.582001,26.235001
"3300","Sigmodon hispidus",-97.582001,26.235001
"3301","Peromyscus leucopus",-97.824974,26.329378
"3302","Peromyscus leucopus",-97.630798,26.1322
"3303","Reithrodontomys fulvescens",-98.183289,26.194351
"3304","Sigmodon hispidus",-97.582001,26.235001
"3305","Baiomys taylori",-97.824974,26.329378
"3308","Sigmodon hispidus",-97.824974,26.329378
"3309","Peromyscus leucopus",-97.824974,26.329378
"3310","Peromyscus leucopus",-97.824974,26.329378
"3312","Peromyscus leucopus",-97.824974,26.329378
"3313","Sigmodon hispidus",-97.824974,26.329378
"3315","Peromyscus leucopus",-97.824974,26.329378
"3316","Sigmodon hispidus",-97.582001,26.235001
"3317","Peromyscus leucopus",-97.582001,26.235001
"3318","Neotoma micropus",-98.183289,26.194351
"3319","Sigmodon hispidus",-97.582001,26.235001
"3320","Peromyscus leucopus",-97.824974,26.329378
"3321","Peromyscus leucopus",-97.824974,26.329378
"3322","Reithrodontomys fulvescens",-97.824974,26.329378
"3323","Sigmodon hispidus",-97.630798,26.1322
"3324","Sigmodon hispidus",-98.183289,26.194351
"3325","Sigmodon hispidus",-97.582001,26.235001
"3326","Reithrodontomys fulvescens",-97.630798,26.1322
"3328","Sigmodon hispidus",-97.582001,26.235001
"3329","Baiomys taylori",-97.824974,26.329378
"3330","Sigmodon hispidus",-97.582001,26.235001
"3331","Reithrodontomys fulvescens",-97.824974,26.329378
"3332","Sigmodon hispidus",-97.582001,26.235001
"3333","Sigmodon hispidus",-97.824974,26.329378
"3334","Sigmodon hispidus",-98.183289,26.194351
"3335","Reithrodontomys fulvescens",-97.824974,26.329378
"3336","Sigmodon hispidus",-97.582001,26.235001
"3338","Peromyscus leucopus",-97.824974,26.329378
"3339","Sigmodon hispidus",-97.630798,26.1322
"3340","Sigmodon hispidus",-97.824974,26.329378
"3341","Sigmodon hispidus",-97.582001,26.235001
"3344","Peromyscus leucopus",-97.630798,26.1322
"3345","Sigmodon hispidus",-97.582001,26.235001
"3346","Sigmodon hispidus",-97.582001,26.235001
"3347","Baiomys taylori",-97.824974,26.329378
"3348","Sigmodon hispidus",-97.824974,26.329378
"3349","Peromyscus leucopus",-98.183289,26.194351
"3350","Peromyscus leucopus",-98.183289,26.194351
"3352","Peromyscus leucopus",-97.824974,26.329378
"3353","Baiomys taylori",-97.824974,26.329378
"3354","Peromyscus leucopus",-97.582001,26.235001
"3355","Peromyscus leucopus",-97.582001,26.235001
"3356","Oryzomys couesi",-97.824974,26.329378
"3357","Sigmodon hispidus",-97.824974,26.329378
"3358","Sigmodon hispidus",-98.183289,26.194351
"3359","Oryzomys couesi",-97.824974,26.329378
"3360","Sigmodon hispidus",-97.824974,26.329378
"3361","Reithrodontomys fulvescens",-97.824974,26.329378
"3362","Sigmodon hispidus",-97.582001,26.235001
"3363","Peromyscus leucopus",-98.183289,26.194351
"3365","Baiomys taylori",-97.824974,26.329378
"3366","Baiomys taylori",-97.824974,26.329378
"3367","Reithrodontomys fulvescens",-97.824974,26.329378
"3368","Peromyscus leucopus",-98.183289,26.194351
"3370","Peromyscus leucopus",-97.824974,26.329378
"3371","Peromyscus leucopus",-97.824974,26.329378
"3372","Sigmodon hispidus",-97.824974,26.329378
"3373","Peromyscus leucopus",-97.582001,26.235001
"3374","Peromyscus leucopus",-97.824974,26.329378
"3377","Oryzomys couesi",-97.824974,26.329378
"3378","Sigmodon hispidus",-98.183289,26.194351
"3379","Baiomys taylori",-97.824974,26.329378
"3380","Baiomys taylori",-97.824974,26.329378
"3381","Peromyscus leucopus",-97.824974,26.329378
"3382","Peromyscus leucopus",-97.824974,26.329378
"3383","Sigmodon hispidus",-97.824974,26.329378
"3384","Reithrodontomys fulvescens",-97.824974,26.329378
"3385","Reithrodontomys fulvescens",-97.824974,26.329378
"3388","Peromyscus leucopus",-97.824974,26.329378
"3392","Sigmodon hispidus",-97.630798,26.1322
"3393","Sigmodon hispidus",-97.582001,26.235001
"3394","Sigmodon hispidus",-97.582001,26.235001
"3395","Neotoma micropus",-98.183289,26.194351
"3397","Oryzomys couesi",-97.824974,26.329378
"3398","Sigmodon hispidus",-97.824974,26.329378
"3400","Baiomys taylori",-97.824974,26.329378
"3401","Sigmodon hispidus",-97.582001,26.235001
"3402","Sigmodon hispidus",-97.582001,26.235001
"3403","Peromyscus leucopus",-97.582001,26.235001
"3404","Sigmodon hispidus",-98.183289,26.194351
"3405","Reithrodontomys fulvescens",-97.582001,26.235001
"3406","Reithrodontomys fulvescens",-97.824974,26.329378
"3407","Peromyscus leucopus",-97.824974,26.329378
"3408","Oryzomys couesi",-97.824974,26.329378
"3409","Peromyscus leucopus",-97.824974,26.329378
"3410","Sigmodon hispidus",-97.824974,26.329378
"3411","Sigmodon hispidus",-97.824974,26.329378
"3412","Sigmodon hispidus",-97.630798,26.1322
"3413","Sigmodon hispidus",-97.582001,26.235001
"3414","Sigmodon hispidus",-97.582001,26.235001
"3417","Reithrodontomys fulvescens",-97.824974,26.329378
"3418","Baiomys taylori",-97.824974,26.329378
"3419","Peromyscus leucopus",-97.582001,26.235001
"3420","Sigmodon hispidus",-97.582001,26.235001
"3421","Peromyscus leucopus",-97.582001,26.235001
"3422","Sigmodon hispidus",-97.582001,26.235001
"3423","Neotoma micropus",-98.183289,26.194351
"3425","Peromyscus leucopus",-97.824974,26.329378
"3426","Peromyscus leucopus",-97.824974,26.329378
"3428","Peromyscus leucopus",-97.824974,26.329378
"3429","Peromyscus leucopus",-98.183289,26.194351
"3430","Peromyscus leucopus",-97.824974,26.329378
"3431","Sigmodon hispidus",-97.582001,26.235001
"3432","Neotoma micropus",-98.183289,26.194351
"3433","Peromyscus leucopus",-98.183289,26.194351
"3434","Peromyscus leucopus",-97.824974,26.329378
"3435","Sigmodon hispidus",-97.824974,26.329378
"3436","Baiomys taylori",-97.824974,26.329378
"3437","Peromyscus leucopus",-97.630798,26.1322
"3438","Baiomys taylori",-97.824974,26.329378
"3439","Sigmodon hispidus",-97.582001,26.235001
"3440","Peromyscus leucopus",-97.582001,26.235001
"3441","Baiomys taylori",-97.824974,26.329378
"3442","Sigmodon hispidus",-97.582001,26.235001
"3443","Oryzomys couesi",-97.824974,26.329378
"3444","Baiomys taylori",-97.582001,26.235001
"3445","Peromyscus leucopus",-97.582001,26.235001
"3446","Neotoma albigula",-98.2079236722631,27.8002704649023
"3449","Peromyscus leucopus",-97.824974,26.329378
"3451","Peromyscus leucopus",-98.183289,26.194351
"3452","Baiomys taylori",-97.824974,26.329378
"3453","Sigmodon hispidus",-97.582001,26.235001
"3454","Sigmodon hispidus",-97.582001,26.235001
"3455","Peromyscus leucopus",-97.824974,26.329378
"3456","Sigmodon hispidus",-97.824974,26.329378
"3457","Sigmodon hispidus",-97.582001,26.235001
"3458","Sigmodon hispidus",-97.582001,26.235001
"3459","Sigmodon hispidus",-97.582001,26.235001
